annotator_id,age,gender,anime_familiarity,category,reason_en,freeform_responses
A001,50s or older,Female,Medium,Emotional Explicitness,Directly mentions the expression 'emotionally charged',['感情がこもっていて抑揚が大きい']
A002,30s,Male,Medium,Timbre Difference,Emphasizes that the 'timbre is distinctive' and the character's individuality,"['声質が独特で、キャラクターが持つ個性がしっかり感じられるところだと思います。', '感情がはっきりしており、キャラクターの個性を引き出している。']"
A003,30s,Male,Medium,Prosodic Salience,"Repeatedly mentions 'clearly distinct intonation', prioritizing prosodic features","['抑揚がはっきりしていて、感情が読み取りやすい', '抑揚がしっかりと意識されており、感情がきちんと表れている。']"
A004,50s or older,Male,Medium,Emotional Explicitness,Focuses on 'expressiveness' and 'exaggeration' for storytelling rather than realism,['現実をそのまま写すのではなく感情や物語を伝えるために誇張・省略・象徴を自在に使う表現力だと思います。']
A005,20s or younger,Female,Medium,Prosodic Salience,Identifies 'wide pitch variation' as the top characteristic,"['抑揚が大きくて、息を多めに含んでいる。滑舌が良い。', '抑揚が大きくて、息を多く含んだような声の発し方をしている。']"
A006,30s,Male,Medium,Articulation Clarity,Mentions 'voice clarity (intelligibility)' and 'articulation (diction)' as key factors,"['感情が入っているかとか滑舌の良さ、セリフ終わりの息の吐き方とかでしょうか。', '声の聞き取りやすさと感情の乗り具合、あと滑舌']"
A007,50s or older,Male,Medium,Emotional Explicitness,"Emphasizes performance aspects such as 'exaggerated speech' and 'energetic, forceful delivery'","['少し舌足らずにしゃべる声、気合が入った勢いのある声質、普通ではあまり言えないちょっと照れるような言葉でも同等と発言するなど。', '少し大げさなしゃべり方をするイメージ。', '下ったらずな声はアニメらしさがある思う。']"
A008,50s or older,Male,Medium,Timbre Difference,Mentions 'timbre that ordinary people cannot reproduce' and unique speaking mannerisms,['実写映画のセリフとは大きく異なり、普通の人では再現できない声質、息遣い、語尾のイントネーションなど独特の言い回しが魅力なことがアニメらしさだと感じます。']
A009,40s,Male,Medium,Articulation Clarity,Leads with 'dynamic (strong-weak) articulation' and 'clarity',"['抑揚や声の高さなどにメリハリがあり、声に感情が乗って表現が豊かであること', 'メリハリのある発音で、キャラクターの感情や性格が声に表れていること', '抑揚がはっきりとしていて、感情が表現されていること', '声のトーンに特徴があり、感情を繊細に表現している', '声が明瞭であり、感情を声で表現出来る']"
A010,30s,Male,Medium,Prosodic Salience,Overwhelmingly and repeatedly mentions 'strong intonation' and 'distinct intonation',"['感情表現が大仰', '抑揚が大きい', '抑揚がはっきりしている', '感情表現のすごさ', 'セリフの抑揚が強い', '滑舌が良く抑揚がはっきりしている']"
A011,20s or younger,Male,High,Timbre Difference,Points to the voice's own quality as 'constructed-sounding timbre',['作ったような声質']
A012,30s,Male,Medium,Timbre Difference,Cites 'distinctive timbre far removed from ordinary voices' as the reason,['一般的な声とかけ離れたような独特の声質、発声。']
A013,30s,Male,High,Articulation Clarity,Emphasizes articulatory clarity as 'speaking each syllable distinctly one by one',['セリフが１つ１つはっきりと話されており、なおかつ基本的には同じセリフの中で発話速度が急に変わったりしない。またこれだけだとニュース番組のキャスターにも当てはまるが、それとアニメらしい声との違いは声がデフォルメされていること。良くも悪くも「作り物感」がある。']
A014,40s,Male,Medium,Articulation Clarity,Repeatedly emphasizes 'clear word contour (articulatory precision)',"['言葉の輪郭や抑揚がはっきりしていること', '言葉の輪郭や感情、抑揚がはっきりしていること', '言葉の輪郭や感情、抑揚がくっきりとしていること。', '言葉に対する感情や抑揚の輪郭がはっきりしていること。']"
A015,40s,Male,High,Articulation Clarity,First mentions 'good diction (articulation)',['活舌がよい。普段人間があまり言わないような事をしゃべる。高い声、低い声。']
A016,50s or older,Female,Medium,Prosodic Salience,Leads every response with the characteristic of 'distinct intonation',"['抑揚がはっきりしている。\r\n計算されたような間の取り方。\r\n少しわざとらしい感情表現。', '抑揚がはっきりしている。\r\nわざとらしいほど感情を込めた大袈裟な話し方。\r\n語尾に息漏れがあるような話し方。\r\n台本を読んでいることが想像できるような不自然さがある。']"
A017,20s or younger,Male,High,Prosodic Salience,Characterizes the voice by mentioning 'wide intonation range' before emotion,['抑揚が大きかったり、声に感情が乗っていることだと思います。']
A018,30s,Female,Medium,Timbre Difference,Mentions the physical timbral characteristic of 'high-pitched voice',['声が甲高い']
A019,40s,Male,High,Timbre Difference,Emphasizes 'stylized/exaggerated timbre' and a voice fitting the character,['抑揚があり感情がこもっている、キャラクターにあった声質であること\r\n一般的な声ではなくデフォルメされていること（かわいいや渋いなどすべて含む）']
A020,40s,Male,Medium,Emotional Explicitness,Identifies 'explosive emotional expression' as the essence of anime-likeness,['声に抑揚があり、またより感情が爆発しているところが自分の考えるアニメらしさであります。']
A021,30s,Female,Medium,Prosodic Salience,"Grounds in short, clear repeated responses of 'wide intonation range'","['抑揚がしっかりある。', '抑揚が大きい。', '抑揚が大きい']"
A022,50s or older,Male,Low,Timbre Difference,Emphasizes 'individuality (uniqueness) different from ordinary vocalization',"['普通の発声とは少し違う個性（ユニークなところ）が魅力であると思います。', '声だけで個性やキャラクターが思い浮かぶことです。', 'キャラクターとストーリーの世界感が一致していることです。']"
A023,30s,Female,High,Emotional Explicitness,Views emotional communication through 'emotional expression' and 'empathy' as the core,"['声に引き込まれるか、感情移入できるか、見て聴いてどれだけ感情を動かされるかがアニメらしさだと思います。', '声に感情がこもっているか、アニメを見て聴いて感情移入できるかがアニメらしさだと思います。', '声で感情をうまく表現できることと、アニメを見て聴いて感情移入できるかがアニメらしさだと思います。']"
A024,50s or older,Male,Medium,Articulation Clarity,Cites 'pronouncing each syllable distinctly one by one' as the reason,['一語一語がはっきりと発音されている。子どもでも聴き取りやすい話し方。日常会話とは違う話し方。']
A025,30s,Male,High,Emotional Explicitness,"Focuses on 'unrealistic, exaggerated expression'","['現実らしくない大袈裟な表現', '現実感のない喋り、活舌の良さ', '非現実感']"
A026,50s or older,Male,High,Timbre Difference,Mentions that 'the manner of voice production (timbre/quality) itself is distinctive',['声の張り方がいかにもそちらだと聞こえる話し方だと思います。']
A027,30s,Male,High,Timbre Difference,"First emphasizes that the 'timbre has habitual, idiosyncratic characteristics'","['声質にクセがある。抑揚がある。', '声質にクセがある。抑揚が大きい。']"
A028,30s,Male,High,Emotional Explicitness,Emphasizes performance characteristics of 'clearly distinct emotional range' and 'over-the-top reactions',"['ちょっとした驚きや照れでも、声のトーンがはっきり変わる。', '抑揚のつけ方が普段よりもわざと大きいところ。', '独特の声質やセリフ回しが、作品ごとの「世界観」を作っている感じがアニメっぽさだと思います。実写では出せない音の雰囲気があります。', '現実より少し早口だったり、情報量が多くても聞きやすくまとめられている。', '一つ一つの感情がハッキリ切り替わる。', '喜怒哀楽がはっきりしていて、\r\n「えっ!?」「うそっ!?」などリアクションが大きめ。\r\n現実より少しオーバーに感情が響く。', '声だけでキャラの個性が伝わるのがアニメらしい。']"
A029,50s or older,Male,High,Emotional Explicitness,Emphasizes emotional projection through expressions like 'imbued with feeling' and 'expressing inner state',"['気分が入った喋り方。', '気持ちがよく出ている喋り方。', '心情が良く出ている声。']"
A030,30s,Male,High,Emotional Explicitness,Explains 'the emotions come through' as the reason,['感情が出ていて会話の一部っぽい']
A031,20s or younger,Male,Medium,Emotional Explicitness,Repeatedly mentions 'expressing emotions in an exaggerated manner',"['気楽に見える。楽しい。', '感情をはっきり表現していること。', '感情を大げさに表現する', '感情を大きく出す', '感情を大げさに表現されている']"
A032,50s or older,Male,Medium,Emotional Explicitness,Identifies 'emotions expressed in exaggerated fashion' and 'exaggerated speech style' as key features,"['実生活で行うと違和感のある会話調のセリフだけれども、アニメなら違和感を感じないもの。', '語り口がちょっと大袈裟', '感情が大袈裟に表現される。', '大袈裟に聞こえるセリフ', 'ちょっと大袈裟な言い回し', '大袈裟な言い回しなのに、違和感がない。', 'アニメ独特の抑揚があると感じてます。', 'アニメ特有の抑揚があると感じています。', '上手く言えませんが、アニメ独特の抑揚があると感じてます。']"
A033,40s,Female,High,Timbre Difference,First mentions 'individuality in timbre',['声質に個性があり、抑揚がある。抑揚がありつつも聞き取りやすい、活舌の良さが伴っている。声優さんご本人を認識していても、アニメキャラになってしまえばキャラクターとしてしか認識しなくていい声。']
A034,40s,Male,Medium,Timbre Difference,Cites the combination of 'distinctive timbre' and emotion as the reason,['普通の会話とは違って、ちょっと独特な声質だけど色んな感情をはっきり感じ取れるもの']
A035,40s,Male,High,Timbre Difference,Directly states that 'individualistic timbre' is most important,['最も重要なのは個性的な声質だと思います']
A036,40s,Female,Medium,Prosodic Salience,First presents the prosodic characteristic of 'wide intonation range',['抑揚が大きく、言葉と言葉の間に少し間がある。']
A037,50s or older,Female,Medium,Emotional Explicitness,Emphasizes expressiveness in depicting a character's personality as 'stylized/exaggerated',"['非現実的ながら、「こんな体験をしてみたいな」という願望を映像の中で実現してくれる媒体', '登場人物の性格や行動が、実在の人物と比べデフォルメされて描かれている。そこが面白く、興味深い。', '人間の感情や生活をファンタスティックに誇張されている世界', '現実世界はもちろん、実写のドラマや舞台演劇等と比べても、非現実的な描写や設定が違和感なく取り入れられる点。登場人物の容姿、リアクション、生身の俳優では不自然になってしまう表現や演出もアニメなら可能である。実写と比べ、より自由でフレキシブルな表現ができる点がアニメらしさだと思う。']"
A038,30s,Female,Medium,Articulation Clarity,Emphasizes 'the voice is clear and easy to understand',['感情と声がはっきりしていて聞き取りやすいこと']
A039,30s,Male,Medium,Timbre Difference,Cites 'distinctive and individualistic timbre' as the reason,"['声質が独特で個性的なところだと思います。', '独特な声質なことだと思います。']"
A040,50s or older,Female,Medium,Emotional Explicitness,Mentions the performance characteristic of being 'slightly exaggerated',"['少し大げさで声に張りがある。滑舌がよく雰囲気がある。', '遠くまで声が通る、かつ特徴的な声']"
A041,40s,Male,Medium,Emotional Explicitness,Explains 'vocalization strongly imbued with emotion' as the reason,"['感情を強めに込めた発声とイントネーション、キャラクターの性格や癖のある口調・口癖等が個性になる', '感情を強くこめた発声とイントネーション']"
A042,40s,Male,Medium,Timbre Difference,Analyzes 'individualistic timbre' as the most memorable core element,"['アニメキャラやそのストーリーに合った声で、どんなシーンでも感情がこもっていること(その感情の変化が分かりやすいこと)です。', '聞こえやすく、かつ声質が独特。とくに男らしい、可愛い、色っぽい、悪役っぽいなど、それらの特徴が際立っている。', '個性的な声質と、抑揚の表現力によって、キャラクターの存在感が際立っていること。そして、その印象が視聴者にとても伝わりやすいことです。', 'アニメの各シーンに合うように、声に感情が込められていること。声質が独特で、印象に残りやすいこと。', '聞き取りやすく、キャラや情景にあった声質で、セリフに感情が込められていること。また個性的な声を持った人がいること。', '声にキャラの個性や感情が込められていること。具体的には声の抑揚が大きく、視聴者に与える印象が大きい声であること。']"
