shuffled_id,shuffled_file,original_file,source,ref_text,cer,duration_sec,utmos
1,audio/0001.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/87/876e8e3a-e582-4201-b03c-25a5d3345866.mp3,anim400k,次は2番線 急行列車が通過いたしますな,0.188,7.259,3.924461
2,audio/0002.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/93/9344e35b-d12e-4a7b-9e9f-cc8834795a98.mp3,anim400k,論文の執筆者は、デグレチャフス少佐なのですね。,0.05,9.379,3.487469
3,audio/0003.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ba/ba3b159e-4454-4759-b6fa-c8e8964628d6.mp3,anim400k,我々が間違っていなかったことを,0.0,4.579,3.723742
4,audio/0004.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/f5/f5be8fe6-d278-496a-85e7-4f7cef7f1f45.mp3,anim400k,マイクにキスした,0.25,4.579,3.683588
5,audio/0005.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/33/337442cf-0544-41b9-8f0d-76987d742f60.mp3,anim400k,私の母も聖女だった,0.222,5.099,3.34999
6,audio/0006.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/3c/3c7af187-ddd8-4fbe-8085-5b757206e71d.mp3,anim400k,いた 細胞様もその上の方も章塾の出身だったはずだ,0.143,6.679,3.619098
7,audio/0007.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/8e/8e06ceb5-f418-40d3-a9e6-7373f3fea204.mp3,anim400k,誰に言ってるんです?,0.182,4.339,3.544589
8,audio/0008.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/41/413c1c6f-ba48-4380-92ba-74ba94aff147.mp3,anim400k,以上で西島新社長の念頭の挨拶を終わります。,0.05,6.419,3.39927
9,audio/0009.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ae/ae7a9b5b-b8b8-4554-a2ea-e871fe613bdd.mp3,anim400k,おいおい、今から盗聴や盗撮の本買って勉強する気か?,0.286,8.379,3.299653
10,audio/0010.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/ee/eeb039ab-c976-4753-8e9f-e1c6f9862125.mp3,anim400k,お前が子供の頃の不警戒を思い出すな。 よく言うよ、来たこと一度もねえくせに。,0.194,8.959,3.565003
11,audio/0011.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/3c/3c0040d2-b5b5-47fa-94e8-e34e80bf1776.mp3,anim400k,ユーガはイギリスと立ち イギリスには5年ほど住んでいましたが安心してください,0.171,8.619,3.044085
12,audio/0012.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/df/df06c855-f06b-4d6b-97df-cb7c61ab3e4f.mp3,anim400k,……何の話ですか、アガイド殿,0.25,6.079,3.691855
13,audio/0013.wav,./dataset/anim400k/anim400k_audio_clips/anim400k_audio_clips/fa/fab78d42-0060-4dae-bad3-3f2dad8c4133.mp3,anim400k,空が白み始めていた,0.111,4.179,3.266672
